Personalitöötaja I,71
Personalitöötaja II,41
"Personalitöötaja, tase 3",5
"Personalitöötaja, tase 3",2
"Personalitöötaja, tase 4",18
"Personalitöötaja, tase 4",6
Piirivalveametnik II,1053
Piirivalveametnik II,91
Piirivalveametnik II,12
Piirivalveametnik III,2
Piirivalveametnik III,174
Piirivalveametnik IV,3
Piirivalveametnik IV,60
Piirivalveametnik V,1
Piirivalveametnik V,20
"Piirivalvur, tase 4",48
"Piirivalvur, tase 5",133
"Piirivalvur, tase 6",61
"Piirivalvur, tase 7",12
"Plaatija, tase 4",3
Plastitöötluse operaator I,3
Plastitöötluse operaator II,1
Plastitöötluse seadistaja I,8
Plastitöötluse seadistaja I,5
Plastitöötluse seadistaja II,1
Plastitöötluse seadistaja II,9
Plastitöötluse seadistaja III,4
Poksitreener I,5
Poksitreener II,4
Poksitreener III,3
Poksitreener IV,2
Poksitreener V,1
"Pommitehnik, tase 5",22
Pottsepp I,24
Pottsepp II,109
Pottsepp III,93
"Pottsepp, tase 4",65
Pottsepp-restauraator III,6
"Pottsepp-sell, tase 3",104
"Pottseppmeister, tase 5",4
"Projektijuhi assistent, tase 5",11
Projektijuht II,3
Projektijuht III,7
Projektijuht IV,1
Projektijuht V,4
"Projektijuht, tase 6",7
"Puhastusteenindaja abiline, tase 2",23
Puhastusteenindaja I,808
Puhastusteenindaja I,23
Puhastusteenindaja I,649
Puhastusteenindaja II,48
Puhastusteenindaja II,131
"Puhastusteenindaja, tase 3",349
"Puhastusteenindaja-juhendaja, tase 4",111
Puhastustööde juht III,31
"Puhastustööde juht, tase 5",33
"Puhkpilliorkestrijuht, tase 5",4
"Puhkpilliorkestrijuht, tase 6",4
"Puhkpilliorkestrijuht, tase 7",3
"Puidukonservaator, tase 6",1
Puidukuivati operaator II,1
"Puidupingioperaator, tase 3",36
Puidupingitööline I,1
Puidupingitööline I,5
Puidupingitööline I,22
Puidupingitööline I,35
"Puidupingitööline, tase 2",9
Puidutöötlemise CNC masina operaator I,68
"Puitmaterjalist väikelaevade ehitaja, tase 3",10
Purjetamistreener I,6
Purjetamistreener II,3
Purjetamistreener III,3
Purjetamistreener IV,1
Purjetamistreener V,1
"Puukäsitööline, tase 4",8
Pärimuskultuuri spetsialist III,6
Pärimuskultuuri spetsialist IV,6
Pärimuskultuuri spetsialist V,5
"Pärimuskultuuri spetsialist, tase 6",3
"Pärimuskultuuri spetsialist, tase 6",1
"Pärimuskultuuri spetsialist, tase 7",1
"Pärimuskultuuri spetsialist, tase 7",2
Päästeinspektor III,69
Päästeinspektor IV,8
"Päästeinspektor, tase 5",31
"Päästeinspektor, tase 6",62
"Päästejuht, tase 6",40
Päästekorraldaja II,47
Päästekorraldaja III,21
"Päästekorraldaja, tase 4",81
"Päästekorraldaja-logistik, tase 5",27
"Päästekorraldaja-valvevahetuse juht, tase 6",12
"Päästemeeskonna juht, tase 5",158
Päästespetsialist III,287
Päästja I,1781
Päästja II,226
"Päästja, tase 4",207
Põhivõimlemise treener IV,1
Põllumajandustootja III,304
"Põllumajandustootja, tase 5",1
Põllumajandustöötaja I,179
Põllumajandustöötaja I,34
Põllumajandustöötaja II,294
Põllumajandustöötaja II,64
Põrandakatja,1
"Põrandakatja, tase 4",1
Pürotehnik I,14
Pürotehnik II,25
Pürotehnik III,5
"Pürotehnik, tase 4",17
"Pürotehnik, tase 5",16
Raamatukoguhoidja III,491
Raamatukoguhoidja IV,448
Raamatukoguhoidja V,26
"Raamatukoguhoidja, tase 6",14
"Raamatukoguhoidja, tase 7",6
Raamatupidaja assistent I,2294
Raamatupidaja II,46
"Raamatupidaja, tase 5",494
Radioloogiatehnik III,29
Radioloogiatehnik IV,50
"Radioloogiatehnik, tase 6",17
"Radioloogiatehnik, tase 7",3
Rahvakunsti- ja käsitöömeister keraamika alal II,12
Rahvakunsti- ja käsitöömeister kivitöö alal II,12
Rahvakunsti- ja käsitöömeister nahatöö alal II,2
Rahvakunsti- ja käsitöömeister nahatöö alal III,1
Rahvakunsti- ja käsitöömeister puidutöö alal II,13
Rahvakunsti- ja käsitöömeister sepatöö alal II,59
Rahvakunsti- ja käsitöömeister tekstiili alal II,140
Rahvakunsti- ja käsitöömeister tekstiili alal III,35
Rahvakunsti- ja käsitöömeister tekstiili alal IV,29
Rahvakunsti- ja käsitöömeister tekstiili alal V,2
"Rahvarõivameister, tase 7",1
Rahvatantsuspetsialist III,2
Rahvatantsuspetsialist IV,1
Rahvatantsuspetsialist V,6
"Rahvatantsuspetsialist, tase 6",13
Raietööline I,388
Raietööline I,290
Raietööline I,120
"Raietööline, tase 2",16
"Raietööline, tase 3",729
Rannakalur I,15
Rannakalur II,3413
"Rannakalur, tase 4",397
Ratsutamistreener I,37
Ratsutamistreener II,7
Ratsutamistreener III,3
"Raudtee defektoskoopia operaator, tase 3",6
"Raudtee defektoskoopia operaator, tase 4",1
"Raudtee defektoskoopia operaatori abi, tase 2",1
Raudtee ehitusjuht III,5
Raudtee ehitusjuht IV,1
Raudtee eriveeremi juht II,117
"Raudtee eriveeremi juht, tase 4",62
Raudtee liikluskorraldaja I,10
Raudtee liikluskorraldaja II,81
Raudtee liikluskorraldaja III,130
Raudtee liikluskorraldaja V,24
"Raudtee liikluskorraldaja, tase 4",194
"Raudtee liikluskorraldaja, tase 5",12
"Raudtee liikluskorraldustöötaja, tase 2",16
Raudtee teemehaanik I,80
Raudtee teemehaanik II,33
Raudtee teemehaanik III,56
"Raudtee teemehaanik, tase 3",84
"Raudtee teemehaanik, tase 4",55
"Raudtee teemehaanik, tase 5",76
"Raudtee teemehaaniku abi, tase 2",86
Raudtee turvanguseadmete ehitusjuht III,1
Raudtee turvanguseadmete mehaanik I,7
Raudtee turvanguseadmete mehaanik II,29
Raudtee turvanguseadmete mehaanik III,10
Raudtee turvanguseadmete mehaanik IV,1
"Raudtee turvanguseadmete mehaanik, tase 4",33
"Raudtee turvanguseadmete mehaanik, tase 5",15
"Raudtee turvanguseadmete mehaanik, tase 6",7
"Raudtee turvanguseadmete nooremmehaanik, tase 2",2
"Raudtee veoveeremi turvanguseadmete mehaanik, tase 4",11
Raudtee-elektrik II,1
Raudtee-elektrik III,6
"Raudtee-elektrik, tase 4",1
Raudteeinsener IV,50
"Raudteeinsener, tase 6",2
Raudteeveeremi lukksepp I,15
Raudteeveeremi lukksepp II,23
"Raudteeveeremi lukksepp, tase 3",57
"Raudteeveeremi lukksepp, tase 4",28
Raudteeveeremi mehaanik III,2
"Raudteeveeremi mehaanik, tase 5",27
Refleksoloog II,2
Refleksoloog III,8
"Refleksoloog, tase 6",6
"Reisikonsultant, tase 4",14
"Reisikonsultant, tase 5",12
"Rongikoostaja abi, tase 2",3
Rongikoostaja I,6
Rongikoostaja II,61
"Rongikoostaja, tase 3",76
"Ruumilise keskkonna planeerija, tase 7",17
Saalihokitreener I,4
Saalihokitreener III,1
Saalihokitreener IV,1
Saeliini operaator II,1
Saeliini operaator II,5
Saematerjalide järeltöötlemisliini operaator II,12
Saematerjalide sorteerimisliini operaator II,13
Sambotreener II,1
"Seakasvatusspetsialist, tase 5",1
"Segamaterjalidest objekti konservaator, tase 6",2
Sekretär I,101
Sekretär II,10
"Sekretär, tase 5",389
"Sepp, tase 4",10
Sisearhitekt V,4
"Sisearhitekt-ekspert, tase 8",1
"Sisetööde elektrik, tase 3",205
"Sisetööde elektrik, tase 4",335
"Sisetööde elektrik, tase 5",1
Soojustehnikainsener IV,4
Sotsiaalhooldaja I,50
Sotsiaalhooldaja II,170
Sotsiaalhooldaja III,7
"Sotsiaalpedagoog, tase 6",3
"Sotsiaalpedagoog, tase 7",10
Sotsiaaltöötaja III,33
Sotsiaaltöötaja IV,17
Sotsiaaltöötaja V,6
"Sotsiaaltöötaja, tase 6",3
"Sotsiaaltöötaja, tase 7",4
"Spaateenindaja, tase 4",26
"Spordimassaažiterapeut, tase 6",5
Sport Chanbara treener I,3
Sport Chanbara treener II,2
Sport Chanbara treener III,5
Sport Chanbara treener IV,3
Squashitreener I,1
Suhtlemistreener V,1
"Suhtlemistreener, tase 6",4
"Suhtlemistreener, tase 7",5
